"Genetic ID","Master ID","Skeletal code","Skeletal element","Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]","Publication","Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at Death from physical anthropology","Group ID","Locality","Political Entity","Lat.","Long.","Pulldown Strategy","Data source","No. Libraries","1240k coverage (taken from original pulldown where possible)","SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)","SNPs hit on autosomal targets (Computed using easystats on HO snpset)","Molecular Sex","Family ID and position within family","Y haplogroup (manual curation in terminal mutation format)","Y haplogroup (manual curation in ISOGG format)","mtDNA coverage (merged data)","mtDNA haplogroup if >2x or published","mtDNA match to consensus if >2x (merged data)","Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)","Sex ratio [Y/(Y+X) counts] (merged data)","Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)","Libraries","ASSESSMENT","ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.","Unnamed: 35","SCORE","Historical Period","Region","Refined Region"
"HGDP00993.DG","HGDP00993","..","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA.DG","..","South Africa",-29,30,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1137445,587482,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-5.28016e-05","Pós-Neolítico","África","África"
"HGDP00994.DG","HGDP00994","..","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA.DG","..","Lesotho",-29,29,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1137079,587335,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-4.68071e-05","Pós-Neolítico","África","África"
"HGDP01030.DG","HGDP01030","HGDP01030","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA.DG","Or Namibia","BotswanaOrNamibia",-28,24,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1140679,588831,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-5.19771e-05","Pós-Neolítico","África","África"
"HGDP01033.DG","HGDP01033","..","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA.DG","..","South Africa",-28,31,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1137451,587363,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-4.78935e-05","Pós-Neolítico","África","África"
"HGDP01034.DG","HGDP01034","HGDP01034","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA.DG","Or Namibia","BotswanaOrNamibia",-28,24,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1140560,588776,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-3.97535e-05","Pós-Neolítico","África","África"
"HGDP01028.DG","HGDP01028","HGDP01028","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA_Herero.DG","Or Namibia","BotswanaOrNamibia",-22,19,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1141168,589016,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-3.24727e-05","Pós-Neolítico","África","África"
"HGDP01035.DG","HGDP01035","HGDP01035","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA_Herero.DG","Or Namibia","BotswanaOrNamibia",-22,19,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1141017,588973,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-4.24452e-05","Pós-Neolítico","África","África"
"HGDP01031.DG","HGDP01031","..","..",2020,"BergstromScience2020","Modern",0,0,"present","..","BantuSA_Ovambo.DG","..","Angola",-19,18,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid","..","..",1136871,587208,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","..","PASS","..",,"-5.33828e-05","Pós-Neolítico","África","África"
"B_Australian-3.DG","B_Australian-3","B_Australian-3",,2016,"MallickNature2016","Modern",0,0,"present","..","Australian.DG","..","Australia",-13,143,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid",1,"44,4",1116944,582951,"U","n/a (no relatives detected)","n/a  (sex unknown)","n/a  (sex unknown)","..","..","..","..","..","..","B_Australian-3","PASS","..",,"1.07251e-07","Pós-Neolítico","Oceania","Oceania"
"B_Australian-4.DG","B_Australian-4","B_Australian-4",,"..","PrueferNature2013","Modern",0,0,"present","..","Australian.DG","..","Australia",-13,143,"1240K pulldown padded to 3.2M snpset","Shotgun.diploid",1,"43,26",1118393,583758,"M","n/a (no relatives detected)","..","..","..","..","..","..","..","..","B_Australian-4","PASS","..",,"-1.07633e-05","Pós-Neolítico","Oceania","Oceania"
